,,,,,,
5W2H - Eco Patas ,,,,,,
What?,Why?,Who?,Where?,When?,How?,How Much? (Horas)
O que?,Por que?,Quem?,Onde?,Quando?,Como?,Quanto?
Home,Página Inicial do site ,Quem vai fazer? (Icaro),Onde vai ser feito (Nos laboratórios de informática da Etec e na casa de cada membro,Tempo de confecção (O tempo de confecção é de 30 dias),"Como vai ser feito, quais ferramentas serão ultilizadas (Nosso home está sendo desenvolvido através da IDE Visual Studio Code e pelo sistema de versionamento, Github","Quanto vai custar?  Valor da mão de obra, seja em valor monetário ou no tempo gasto de confecção"
Sobre nós/ Contato,Informação sobre a empresa e os colaboradores ,,,,,
Itens no geral/ Produtos,Produtos ofertados,,,,,
Linkar ,Estruturar a alta fidelidade ,,,,,
Produtos para peixes ,,,,,,
Produtos para gatos,,,,,,
Produtos para cachorros ,,,,,,
Animais para doação,,,,,,
,,,,,,
Site da referência: Nike (Se basear no mapa do site) ,,,,,,
